t,x,y,z,heading,modo,drive_izq,drive_der,vx,yaw_rate,GF_1,GF_2,LC4_left,LC4_right,LPLC2_left,LPLC2_right,DNa01_left,DNa01_right,DNa02_left,DNa02_right,P9_left,P9_right,MDN_1,aDN1_left
0.0,0.016,0.007,1.781,0.0,walking,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0333,0.257,-0.009,1.052,0.0046,walking,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0666,0.267,-0.01,1.059,0.0053,walking,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0999,0.267,-0.011,1.057,0.003,walking,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.1332,0.267,-0.009,1.058,0.005,walking,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.1665,0.262,-0.009,1.052,0.0049,walking,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.1998,0.253,-0.011,1.048,0.0043,walking,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.2331,0.246,-0.011,1.04,0.0069,walking,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.2664,0.234,-0.014,1.049,0.0033,walking,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.2997,0.233,-0.01,1.049,0.0052,walking,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.333,0.227,-0.011,1.04,0.005,walking,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.3663,0.212,-0.01,1.054,0.0036,walking,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.3996,0.207,-0.011,1.048,0.0043,walking,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.4329,0.195,-0.01,1.055,0.0014,walking,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.4662,0.192,-0.01,1.052,0.0051,walking,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.4995,0.184,-0.009,1.046,0.0055,walking,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.5328,0.183,-0.01,1.051,0.0049,walking,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.5661,0.181,-0.011,1.049,0.0066,walking,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.5994,0.175,-0.014,1.048,0.0034,walking,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.6327,0.183,-0.01,1.054,0.0068,walking,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.666,0.178,-0.01,1.049,0.0062,walking,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.6993,0.184,-0.01,1.054,0.0059,walking,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.7326,0.183,-0.011,1.051,0.0065,walking,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.7659,0.183,-0.012,1.05,0.007,walking,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.7992,0.182,-0.011,1.049,0.0062,walking,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.8325,0.174,-0.01,1.042,0.0065,walking,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.8658,0.174,-0.009,1.045,0.0063,walking,0.144,0.144,0.144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,114.94,0.0,0.0,0.0
0.8991,0.188,-0.01,1.047,0.0032,walking,0.139,0.139,0.139,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,111.11,0.0,0.0,0.0
0.9324,0.202,-0.011,1.037,0.0169,walking,0.133,0.133,0.133,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,106.38,0.0,0.0,0.0
0.9657,0.201,0.012,1.075,0.0025,walking,0.129,0.129,0.129,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,103.09,0.0,0.0,0.0
0.999,0.238,0.002,1.067,0.0081,walking,0.125,0.125,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0
1.0323,0.177,0.018,1.092,0.0146,walking,0.12,0.12,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96.15,0.0,0.0,0.0
1.0656,0.251,0.024,1.09,0.0018,walking,0.117,0.117,0.117,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,93.46,0.0,0.0,0.0
1.0989,0.256,0.025,1.064,0.0105,walking,0.114,0.114,0.114,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.91,0.0,0.0,0.0
1.1322,0.266,0.044,1.081,0.0122,walking,0.11,0.11,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,87.72,0.0,0.0,0.0
1.1655,0.288,0.035,1.05,0.0128,walking,0.107,0.107,0.107,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85.47,0.0,0.0,0.0
1.1988,0.283,0.046,1.061,0.0239,walking,0.104,0.104,0.104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83.33,0.0,0.0,0.0
1.2321,0.333,0.043,1.056,0.0073,walking,0.101,0.101,0.101,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.65,0.0,0.0,0.0
1.2654,0.344,0.047,1.049,0.0142,walking,0.098,0.098,0.098,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78.74,0.0,0.0,0.0
1.2987,0.342,0.05,1.059,0.0207,walking,0.192,0.192,0.192,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76.92,76.92,0.0,0.0
1.332,0.381,0.035,1.027,0.0063,walking,0.187,0.187,0.187,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.63,74.63,0.0,0.0
1.3653,0.405,0.053,1.022,0.038,walking,0.182,0.182,0.182,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.99,72.99,0.0,0.0
1.3986,0.473,0.06,1.035,0.0122,walking,0.179,0.179,0.179,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.43,71.43,0.0,0.0
1.4319,0.512,0.055,1.024,0.0287,walking,0.174,0.174,0.174,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.44,69.44,0.0,0.0
